Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2021,Mercedes-Benz,AMG GT AMG GT 43,29,118,4.3,133,"$73,890 "
2018,Mercedes-Benz,GLS 550  4MATIC,55,262,4.4,129,"$36,991 "
2022,Mercedes-Benz,EQS 580  4MATIC,2,810,4.3,"1,491","$77,033 "
2021,Mercedes-Benz,S-Class S 580 4MATIC,31,36,4.9,"4,585","$85,500 "
2023,Mercedes-Benz,EQS 580  4MATIC,12,0,4.3,"1,491","$89,888 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,37,628,4.8,752,"$28,988 "
2023,Mercedes-Benz,EQB 300 4MATIC,2,878,4.4,297,"$51,897 "
2023,Mercedes-Benz,AMG GLA 45 ,4,0,4.8,"1,291","$55,900 "
2021,Mercedes-Benz,S-Class S 580 4MATIC,13,297,4.1,522,"$89,995 "
2023,Mercedes-Benz,GLE 350 ,16,655,4,15,"$61,805 "
2020,Mercedes-Benz,AMG GT 63 4-Door,27,265,4.7,"1,239","$98,999 "
2023,Mercedes-Benz,AMG SL 63 ,2,912,3.4,468,"$164,994 "
2023,Mercedes-Benz,GLC 300  4MATIC,2,518,3.2,98,"$49,995 "
2024,Mercedes-Benz,GLE 450 Plug-In Hybrid 4MATIC,3,704,4,526,"$82,980 "
2023,Mercedes-Benz,AMG GLE 53 4MATIC Coupe,29,694,4,60,"$81,994 "
2020,Mercedes-Benz,G-Class G 550 4MATIC,66,208,4.7,"1,371","$125,690 "
2020,Mercedes-Benz,GLS 450  4MATIC,39,881,4,37,"$50,563 "
